scanning 11719921 files with 12 workers
  2060000/11719921  30102 files/s
  2070000/11719921  30129 files/s
  2080000/11719921  30128 files/s
  2090000/11719921  30145 files/s
  2100000/11719921  30098 files/s
  2110000/11719921  30096 files/s
  2120000/11719921  30097 files/s
  2130000/11719921  30108 files/s
  2140000/11719921  30056 files/s
  2150000/11719921  30061 files/s
  2160000/11719921  30091 files/s
  2170000/11719921  30038 files/s
  2180000/11719921  29971 files/s
  2190000/11719921  29972 files/s
  2200000/11719921  29984 files/s
  2210000/11719921  30007 files/s
  2220000/11719921  30004 files/s
  2230000/11719921  29957 files/s
  2240000/11719921  29974 files/s
  2250000/11719921  29992 files/s
  2260000/11719921  30001 files/s
  2270000/11719921  29949 files/s
  2280000/11719921  29969 files/s
  2290000/11719921  29983 files/s
  2300000/11719921  29987 files/s
  2310000/11719921  29927 files/s
  2320000/11719921  29939 files/s
  2330000/11719921  29957 files/s
  2340000/11719921  29854 files/s
  2350000/11719921  29773 files/s
  2360000/11719921  29778 files/s
  2370000/11719921  29781 files/s
  2380000/11719921  29786 files/s
  2390000/11719921  29783 files/s
  2400000/11719921  29738 files/s
  2410000/11719921  29745 files/s
  2420000/11719921  29747 files/s
  2430000/11719921  29745 files/s
  2440000/11719921  29694 files/s
  2450000/11719921  29694 files/s
  2460000/11719921  29700 files/s
  2470000/11719921  29705 files/s
  2480000/11719921  29658 files/s
  2490000/11719921  29610 files/s
  2500000/11719921  29619 files/s
  2510000/11719921  29631 files/s
  2520000/11719921  29594 files/s
  2530000/11719921  29608 files/s
  2540000/11719921  29594 files/s
  2550000/11719921  29534 files/s
  2560000/11719921  29537 files/s
  2570000/11719921  29539 files/s
  2580000/11719921  29541 files/s
  2590000/11719921  29492 files/s
  2600000/11719921  29490 files/s
  2610000/11719921  29483 files/s
  2620000/11719921  29509 files/s
  2630000/11719921  29534 files/s
  2640000/11719921  29559 files/s
  2650000/11719921  29535 files/s
  2660000/11719921  29533 files/s
  2670000/11719921  29532 files/s
  2680000/11719921  29539 files/s
  2690000/11719921  29574 files/s
  2700000/11719921  29607 files/s
  2710000/11719921  29590 files/s
  2720000/11719921  29620 files/s
  2730000/11719921  29635 files/s
  2740000/11719921  29659 files/s
  2750000/11719921  29613 files/s
  2760000/11719921  29620 files/s
  2770000/11719921  29643 files/s
  2780000/11719921  29665 files/s
  2790000/11719921  29689 files/s
  2800000/11719921  29644 files/s
  2810000/11719921  29668 files/s
  2820000/11719921  29638 files/s
  2830000/11719921  29653 files/s
  2840000/11719921  29644 files/s
  2850000/11719921  29585 files/s
  2860000/11719921  29578 files/s
  2870000/11719921  29564 files/s
  2880000/11719921  29578 files/s
  2890000/11719921  29537 files/s
  2900000/11719921  29528 files/s
  2910000/11719921  29504 files/s
  2920000/11719921  29436 files/s
  2930000/11719921  29447 files/s
  2940000/11719921  29456 files/s
  2950000/11719921  29417 files/s
  2960000/11719921  29426 files/s
  2970000/11719921  29417 files/s
  2980000/11719921  29358 files/s
  2990000/11719921  29377 files/s
  3000000/11719921  29373 files/s
  3010000/11719921  29397 files/s
  3020000/11719921  29423 files/s
  3030000/11719921  29392 files/s
  3040000/11719921  29412 files/s
  3050000/11719921  29424 files/s
  3060000/11719921  29439 files/s
  3070000/11719921  29439 files/s
  3080000/11719921  29397 files/s
  3090000/11719921  29396 files/s
  3100000/11719921  29395 files/s
  3110000/11719921  29396 files/s
  3120000/11719921  29361 files/s
  3130000/11719921  29373 files/s
  3140000/11719921  29395 files/s
  3150000/11719921  29387 files/s
  3160000/11719921  29367 files/s
  3170000/11719921  29381 files/s
  3180000/11719921  29394 files/s
  3190000/11719921  29408 files/s
  3200000/11719921  29416 files/s
  3210000/11719921  29353 files/s
  3220000/11719921  29354 files/s
  3230000/11719921  29361 files/s
  3240000/11719921  29366 files/s
  3250000/11719921  29331 files/s
  3260000/11719921  29327 files/s
  3270000/11719921  29329 files/s
  3280000/11719921  29338 files/s
  3290000/11719921  29303 files/s
  3300000/11719921  29307 files/s
  3310000/11719921  29313 files/s
  3320000/11719921  29280 files/s
  3330000/11719921  29288 files/s
  3340000/11719921  29279 files/s
  3350000/11719921  29296 files/s
  3360000/11719921  29310 files/s
  3370000/11719921  29282 files/s
  3380000/11719921  29298 files/s
  3390000/11719921  29305 files/s
  3400000/11719921  29310 files/s
  3410000/11719921  29315 files/s
  3420000/11719921  29327 files/s
  3430000/11719921  29306 files/s
  3440000/11719921  29322 files/s
  3450000/11719921  29339 files/s
  3460000/11719921  29355 files/s
  3470000/11719921  29373 files/s
  3480000/11719921  29343 files/s
  3490000/11719921  29352 files/s
  3500000/11719921  29337 files/s
  3510000/11719921  29353 files/s
  3520000/11719921  29325 files/s
  3530000/11719921  29325 files/s
  3540000/11719921  29270 files/s
  3550000/11719921  29271 files/s
  3560000/11719921  29234 files/s
  3570000/11719921  29221 files/s
  3580000/11719921  29227 files/s
  3590000/11719921  29234 files/s
  3600000/11719921  29204 files/s
  3610000/11719921  29219 files/s
  3620000/11719921  29235 files/s
  3630000/11719921  29242 files/s
  3640000/11719921  29248 files/s
  3650000/11719921  29261 files/s
  3660000/11719921  29239 files/s
  3670000/11719921  29255 files/s
  3680000/11719921  29262 files/s
